unix_ms,frame,current_fps,smoothed_fps,dt
1748120238138,314,71,17,0.01396229
1748120238182,315,1,13,0.6467965
1748120238218,316,24,16,0.04112469
1748120238257,317,28,19,0.03469927
1748120238292,318,25,20,0.03948157
1748120238328,319,28,22,0.03570276
1748120238363,320,28,24,0.03500386
1748120238398,321,28,25,0.03551329
1748120238434,322,28,26,0.03515355
1748120238468,323,28,26,0.03496912
1748120238509,324,28,27,0.03539766
1748120238545,325,24,26,0.04046334
1748120238580,326,27,26,0.03583381
1748120238620,327,28,27,0.03552011
1748120238655,328,25,26,0.0395348
1748120238691,329,27,27,0.03571704
1748120238733,330,27,27,0.03574157
1748120238774,331,24,26,0.04139506
1748120238816,332,23,25,0.0417087
1748120238857,333,23,25,0.04191454
1748120238899,334,24,25,0.04136985
1748120238941,335,23,24,0.04212256
1748120238982,336,23,24,0.04212047
1748120239024,337,24,24,0.04021328
1748120239060,338,24,24,0.04122151
1748120239096,339,26,25,0.03707198
1748120239135,340,27,25,0.03574568
1748120239171,341,25,25,0.03862594
1748120239207,342,27,26,0.03608349
1748120239247,343,27,26,0.03600985
1748120239289,344,25,26,0.03994495
1748120239331,345,23,25,0.04292953
1748120239372,346,24,25,0.0405525
1748120239414,347,24,25,0.04147282
1748120239456,348,24,24,0.04160646
1748120239498,349,23,24,0.04261729
1748120239539,350,23,24,0.04174407
1748120239581,351,24,24,0.04137547
1748120239623,352,23,24,0.04202152
1748120239664,353,24,24,0.04100375
1748120239707,354,23,24,0.04206302
1748120239748,355,23,24,0.04219084
1748120239789,356,24,24,0.04155381
1748120239832,357,23,23,0.04189344
1748120239873,358,23,23,0.04261209
1748120239915,359,24,24,0.04078969
1748120239957,360,23,23,0.0426074
1748120240002,361,24,24,0.04094469
1748120240044,362,21,23,0.0455674
1748120240086,363,23,23,0.04168631
1748120240128,364,23,23,0.04191245
1748120240170,365,24,23,0.04155943
1748120240211,366,23,23,0.04179839
1748120240253,367,23,23,0.04251527
1748120240295,368,24,23,0.04118443
1748120240337,369,23,23,0.04226875
1748120240378,370,24,23,0.04108334
1748120240420,371,23,23,0.04230235
1748120240462,372,24,23,0.04113683
1748120240504,373,23,23,0.04237844
1748120240545,374,24,23,0.04124797
1748120240587,375,23,23,0.0418173
1748120240629,376,23,23,0.04190099
1748120240671,377,23,23,0.04244964
1748120240712,378,23,23,0.04171974
1748120240754,379,24,24,0.04097401
1748120240796,380,23,23,0.04190063
1748120240837,381,23,23,0.04178985
1748120240879,382,23,23,0.04205917
1748120240921,383,24,23,0.04156646
1748120240963,384,24,24,0.04134021
1748120241004,385,23,23,0.04210422
1748120241047,386,23,23,0.04176792
1748120241088,387,23,23,0.04196703
1748120241130,388,24,23,0.04131027
1748120241172,389,23,23,0.04230203
1748120241213,390,24,23,0.04160224
1748120241255,391,24,24,0.04122683
1748120241297,392,23,23,0.04250875
1748120241339,393,24,24,0.04088724
1748120241381,394,23,24,0.04177271
1748120241423,395,23,23,0.04221068
1748120241464,396,23,23,0.04211652
1748120241506,397,24,23,0.0414637
1748120241548,398,24,23,0.04147724
1748120241589,399,23,23,0.04191469
1748120241631,400,23,23,0.04189302
1748120241673,401,24,23,0.04144235
1748120241715,402,23,23,0.04323438
1748120241756,403,24,24,0.04039896
1748120241798,404,23,23,0.04176959
1748120241840,405,23,23,0.04183875
1748120241882,406,23,23,0.04301433
1748120241923,407,24,24,0.04057849
1748120241965,408,23,23,0.04186032
1748120242007,409,23,23,0.04187948
1748120242049,410,24,24,0.04130011
1748120242091,411,23,23,0.04246287
1748120242132,412,24,23,0.04157287
1748120242174,413,24,23,0.04163344
1748120242216,414,23,23,0.04231313
1748120242258,415,24,24,0.04097573
1748120242299,416,23,23,0.04242172
1748120242341,417,24,24,0.04113063
1748120242383,418,23,23,0.04338365
1748120242425,419,25,24,0.03998578
1748120242467,420,23,23,0.04215599
1748120242509,421,23,23,0.04184339
1748120242550,422,23,23,0.0425299
1748120242592,423,24,23,0.04098068
1748120242633,424,23,23,0.04182933
1748120242675,425,24,24,0.04114703
1748120242717,426,23,23,0.04281433
1748120242759,427,24,24,0.04060761
1748120242801,428,23,23,0.0426686
1748120242843,429,24,23,0.04137224
1748120242884,430,23,23,0.04223261
1748120242926,431,24,24,0.04082428
1748120242968,432,23,23,0.04234375
1748120243010,433,23,23,0.04189771
1748120243051,434,23,23,0.04253547
1748120243093,435,24,24,0.04051328
1748120243134,436,23,23,0.04199761
1748120243177,437,24,24,0.04120115
1748120243218,438,23,23,0.04282568
1748120243260,439,24,24,0.04082052
1748120243302,440,23,23,0.04280407
1748120243344,441,24,24,0.04093402
1748120243385,442,23,23,0.04210829
1748120243427,443,23,23,0.04169563
1748120243469,444,23,23,0.04177813
1748120243511,445,24,23,0.04140459
1748120243552,446,23,23,0.04221615
1748120243594,447,24,24,0.04104797
1748120243636,448,23,23,0.04289115
1748120243677,449,24,24,0.04072719
1748120243719,450,23,23,0.04196953
1748120243762,451,24,24,0.0410162
1748120243802,452,22,23,0.0434961
1748120243845,453,24,23,0.04095995
1748120243886,454,23,23,0.04208386
1748120243928,455,24,23,0.04160136
1748120243970,456,23,23,0.04176375
1748120244012,457,23,23,0.04195948
1748120244053,458,24,23,0.04153433
1748120244095,459,23,23,0.04173073
1748120244137,460,23,23,0.0425263
1748120244179,461,24,24,0.04032349
1748120244221,462,23,23,0.04247407
1748120244262,463,24,23,0.04159521
1748120244304,464,23,23,0.04245302
1748120244346,465,24,24,0.04073834
1748120244387,466,23,24,0.04185006
1748120244429,467,23,23,0.04220105
1748120244471,468,24,23,0.04160532
1748120244513,469,23,23,0.04196141
1748120244555,470,24,24,0.04107505
1748120244596,471,23,23,0.04299407
1748120244638,472,24,23,0.04101323
1748120244680,473,24,24,0.04140646
1748120244721,474,23,24,0.04169808
1748120244763,475,24,24,0.04164657
1748120244805,476,23,23,0.04220323
1748120244847,477,24,23,0.04140152
1748120244888,478,23,23,0.04192125
1748120244930,479,23,23,0.04174917
1748120244972,480,23,23,0.0419387
1748120245014,481,23,23,0.04197136
1748120245055,482,24,24,0.04107355
1748120245097,483,23,23,0.04255792
1748120245139,484,24,23,0.04161005
1748120245181,485,23,23,0.04183099
1748120245222,486,23,23,0.04219183
1748120245264,487,24,24,0.0407736
1748120245307,488,23,23,0.04214386
1748120245348,489,22,23,0.04348672
1748120245390,490,25,24,0.03997907
1748120245432,491,23,24,0.0418498
1748120245473,492,24,24,0.04139026
1748120245515,493,23,23,0.04241605
1748120245557,494,24,24,0.04118589
1748120245598,495,23,23,0.0421187
1748120245640,496,24,24,0.04115631
1748120245682,497,23,23,0.04226245
1748120245723,498,24,23,0.04154323
1748120245765,499,24,24,0.04134907
1748120245807,500,23,23,0.04228922
1748120245849,501,23,23,0.04209751
1748120245891,502,24,23,0.04157177
1748120245932,503,23,23,0.04178474
1748120245975,504,24,23,0.04135875
1748120246016,505,23,23,0.04295485
1748120246058,506,24,24,0.04023631
1748120246099,507,23,23,0.04263047
1748120246142,508,24,23,0.04152011
1748120246183,509,23,23,0.04295053
1748120246225,510,24,23,0.0411136
1748120246267,511,24,23,0.04154
1748120246309,512,23,23,0.04202829
1748120246350,513,23,23,0.04221683
1748120246392,514,24,23,0.04114344
1748120246434,515,23,23,0.04203402
1748120246476,516,24,24,0.04070792
1748120246517,517,23,23,0.04299834
1748120246559,518,24,24,0.04040506
1748120246601,519,23,23,0.0427986
1748120246643,520,24,23,0.04135349
1748120246684,521,23,23,0.04235615
1748120246726,522,24,24,0.04077704
1748120246767,523,24,24,0.04165829
1748120246810,524,23,23,0.04186605
1748120246851,525,23,23,0.04204052
1748120246893,526,24,24,0.04131959
1748120246935,527,23,23,0.04242943
1748120246977,528,24,24,0.04085151
1748120247018,529,23,23,0.04275844
1748120247060,530,24,24,0.04062058
1748120247101,531,23,23,0.04278938
1748120247143,532,24,24,0.04090157
1748120247185,533,23,23,0.04284495
1748120247227,534,24,23,0.04099251
1748120247269,535,23,23,0.04185584
1748120247311,536,23,23,0.04170303
1748120247352,537,23,23,0.04213901
1748120247394,538,24,23,0.04133865
1748120247436,539,23,23,0.04233344
1748120247478,540,23,23,0.04200537
1748120247519,541,24,23,0.0412873
1748120247562,542,24,24,0.04103448
1748120247603,543,23,23,0.04313141
1748120247645,544,24,24,0.0404174
1748120247686,545,23,24,0.04199276
1748120247728,546,23,23,0.04208886
1748120247770,547,24,23,0.04164782
1748120247812,548,23,23,0.04198631
1748120247853,549,24,24,0.04113724
1748120247895,550,23,23,0.04198151
1748120247937,551,23,23,0.04213954
1748120247979,552,24,23,0.04134292
1748120248020,553,23,23,0.04196532
1748120248062,554,24,24,0.04122641
1748120248104,555,23,23,0.04298156
1748120248146,556,24,24,0.04063011
1748120248187,557,23,23,0.04219928
1748120248229,558,23,23,0.04176167
1748120248271,559,24,23,0.04164219
1748120248313,560,23,23,0.04204829
1748120248355,561,24,23,0.04143172
1748120248396,562,23,23,0.04229417
1748120248438,563,24,23,0.04153777
1748120248480,564,24,23,0.04142844
1748120248522,565,23,23,0.04215584
1748120248564,566,24,23,0.04148813
1748120248605,567,23,23,0.04214428
1748120248647,568,24,23,0.04131047
1748120248689,569,23,23,0.04216876
1748120248731,570,24,23,0.04127584
1748120248772,571,23,23,0.04215375
1748120248814,572,24,23,0.04130844
1748120248856,573,24,24,0.04158141
1748120248897,574,23,23,0.04247813
1748120248939,575,24,23,0.04142235
1748120248981,576,23,23,0.04176287
1748120249023,577,23,23,0.04181646
1748120249064,578,23,23,0.0419598
1748120249106,579,23,23,0.04176266
1748120249148,580,24,23,0.04144766
1748120249190,581,23,23,0.04247105
1748120249231,582,24,23,0.04126094
1748120249274,583,24,23,0.04157959
1748120249315,584,23,23,0.04286537
1748120249357,585,24,24,0.04057787
1748120249398,586,23,23,0.04222053
1748120249440,587,24,23,0.04142724
1748120249482,588,23,23,0.04234974
1748120249524,589,24,23,0.04117027
1748120249566,590,24,24,0.04131959
1748120249607,591,23,23,0.04242412
1748120249649,592,23,23,0.04170985
1748120249691,593,24,23,0.04157016
1748120249732,594,23,23,0.04195209
1748120249775,595,24,23,0.04141526
1748120249816,596,23,23,0.04326933
1748120249858,597,24,24,0.04034021
1748120249900,598,23,23,0.04224933
1748120249942,599,24,23,0.04143563
1748120249983,600,23,23,0.0424024
1748120250025,601,24,24,0.04081495
1748120250067,602,23,23,0.04239376
1748120250109,603,23,23,0.04273219
1748120250150,604,24,23,0.04129641
1748120250192,605,24,23,0.04127375
1748120250234,606,23,23,0.04186125
1748120250276,607,24,24,0.04106453
1748120250317,608,23,23,0.04266605
1748120250359,609,24,24,0.04081563
1748120250401,610,23,23,0.0426224
1748120250443,611,24,23,0.04131886
1748120250484,612,23,23,0.04277651
1748120250526,613,24,24,0.04065657
1748120250568,614,23,23,0.04194552
1748120250610,615,24,23,0.04161912
1748120250651,616,23,23,0.0419511
1748120250693,617,24,24,0.04131662
1748120250735,618,23,23,0.04203907
1748120250777,619,24,24,0.04115032
1748120250818,620,23,23,0.04238693
1748120250860,621,24,24,0.04084766
1748120250902,622,23,23,0.04323745
1748120250944,623,24,23,0.04097391
1748120250986,624,23,23,0.04236454
1748120251027,625,24,23,0.04116099
1748120251069,626,23,23,0.04210662
1748120251111,627,23,23,0.0418574
1748120251152,628,23,23,0.04274167
1748120251194,629,24,23,0.04062255
1748120251236,630,23,23,0.0424661
1748120251278,631,24,23,0.04114709
1748120251319,632,24,23,0.04162177
1748120251361,633,24,24,0.04111365
1748120251403,634,23,23,0.04282891
1748120251445,635,24,24,0.04099464
1748120251486,636,23,23,0.04218396
1748120251528,637,23,23,0.04169475
1748120251570,638,24,24,0.04104537
1748120251612,639,23,23,0.04198886
1748120251654,640,23,23,0.04169678
1748120251696,641,23,23,0.04297537
1748120251737,642,24,23,0.04103651
1748120251779,643,24,24,0.04122724
1748120251821,644,23,23,0.04198474
1748120251862,645,23,23,0.04228261
1748120251904,646,23,23,0.04178865
1748120251946,647,24,23,0.04131167
1748120251988,648,23,23,0.04211662
1748120252029,649,24,23,0.04131938
1748120252071,650,23,23,0.04169245
1748120252113,651,23,23,0.04212251
1748120252155,652,24,23,0.04137855
1748120252197,653,23,23,0.04214896
1748120252238,654,23,23,0.04187235
1748120252280,655,23,23,0.04182886
1748120252322,656,23,23,0.04258922
1748120252364,657,24,24,0.04046969
1748120252406,658,23,23,0.04224464
1748120252448,659,24,23,0.04141959
1748120252489,660,23,23,0.04289433
1748120252531,661,24,23,0.04104136
1748120252572,662,24,24,0.04111084
1748120252614,663,23,23,0.04233334
1748120252656,664,24,24,0.04136454
1748120252698,665,23,23,0.0423886
1748120252740,666,24,23,0.04145771
1748120252781,667,24,23,0.04149355
1748120252823,668,23,23,0.04209407
1748120252865,669,24,23,0.04148542
1748120252907,670,23,23,0.04196922
1748120252948,671,24,23,0.04162829
1748120252990,672,23,23,0.04196719
1748120253032,673,24,24,0.04125058
1748120253074,674,24,24,0.04163068
1748120253115,675,23,23,0.04245152
1748120253157,676,24,23,0.0413487
1748120253199,677,23,23,0.04190974
1748120253241,678,23,23,0.04201282
1748120253282,679,23,23,0.04312844
1748120253324,680,24,23,0.0408736
1748120253366,681,24,24,0.04067552
1748120253408,682,23,23,0.04245276
1748120253450,683,23,23,0.04253724
1748120253491,684,24,23,0.04087547
1748120253533,685,23,23,0.04192542
1748120253575,686,24,24,0.04118126
1748120253617,687,23,23,0.0426424
1748120253659,688,24,24,0.04090152
1748120253700,689,23,23,0.04256469
1748120253742,690,24,23,0.04121881
1748120253784,691,23,23,0.04225381
1748120253826,692,24,24,0.04094422
1748120253867,693,23,23,0.04192443
1748120253909,694,23,23,0.04190266
1748120253951,695,23,23,0.04224375
1748120253999,696,24,23,0.04138047
1748120254035,697,20,23,0.04809865
1748120254076,698,27,24,0.03575292
1748120254117,699,23,24,0.04183204
1748120254159,700,24,24,0.04100469
1748120254201,701,23,24,0.04210334
1748120254244,702,24,24,0.0415611
1748120254285,703,23,23,0.04262323
1748120254326,704,24,24,0.04117235
1748120254368,705,24,24,0.04143615
1748120254411,706,24,24,0.04163256
1748120254452,707,23,23,0.04263792
1748120254494,708,24,23,0.04155141
1748120254535,709,23,23,0.04190115
1748120254577,710,24,24,0.04125927
1748120254619,711,23,23,0.04214084
1748120254661,712,24,24,0.04090969
1748120254702,713,23,23,0.0427911
1748120254744,714,24,23,0.0414236
1748120254786,715,23,23,0.04187162
1748120254828,716,23,23,0.04168724
1748120254869,717,24,24,0.04130771
1748120254911,718,23,23,0.04206323
1748120254953,719,24,24,0.04141959
1748120254995,720,23,23,0.04196219
1748120255036,721,23,23,0.04177495
1748120255078,722,24,24,0.04132703
1748120255120,723,23,23,0.04257771
1748120255162,724,23,23,0.04189401
1748120255203,725,24,23,0.04155641
1748120255245,726,24,24,0.04127636
1748120255287,727,23,23,0.04253026
1748120255328,728,24,24,0.04072855
1748120255370,729,23,24,0.04176344
1748120255412,730,23,23,0.04183047
1748120255454,731,24,24,0.04159485
1748120255496,732,23,23,0.042021
1748120255537,733,23,23,0.04206896
1748120255579,734,24,23,0.04137376
1748120255621,735,23,23,0.04230006
1748120255662,736,24,24,0.04101495
1748120255704,737,23,23,0.0418748
1748120255746,738,24,24,0.04145719
1748120255788,739,23,23,0.04223266
1748120255830,740,23,23,0.0418874
1748120255872,741,24,23,0.04135594
1748120255913,742,23,23,0.04276839
1748120255955,743,24,23,0.04081323
1748120255997,744,23,23,0.04207558
1748120256039,745,24,23,0.04164912
1748120256080,746,24,23,0.04159521
1748120256122,747,23,23,0.04213834
1748120256164,748,24,23,0.04162974
1748120256206,749,23,23,0.04209084
1748120256247,750,24,23,0.04135146
1748120256289,751,23,23,0.04276511
1748120256331,752,24,23,0.04119745
1748120256373,753,23,23,0.04225552
1748120256414,754,24,24,0.04098308
1748120256456,755,23,23,0.04175058
1748120256498,756,24,24,0.04156245
1748120256539,757,23,23,0.0417287
1748120256581,758,23,23,0.04167011
1748120256623,759,23,23,0.04229568
1748120256665,760,24,23,0.04127792
1748120256707,761,24,23,0.04163813
1748120256748,762,23,23,0.04193042
1748120256790,763,24,23,0.04153094
1748120256832,764,23,23,0.04216303
1748120256874,765,24,23,0.04137115
1748120256915,766,23,23,0.04290229
1748120256957,767,24,24,0.04052032
1748120256999,768,23,23,0.04221641
1748120257041,769,24,23,0.04163464
1748120257082,770,23,23,0.04189193
1748120257125,771,24,23,0.04141235
1748120257166,772,23,23,0.04258922
1748120257208,773,24,23,0.04108735
1748120257250,774,23,23,0.04245276
1748120257292,775,24,23,0.0412885
1748120257333,776,23,23,0.04188771
1748120257375,777,23,23,0.0417174
1748120257417,778,23,23,0.04229386
1748120257458,779,24,23,0.04110641
1748120257500,780,23,23,0.04193698
1748120257542,781,24,23,0.04155141
1748120257584,782,23,23,0.04249381
1748120257625,783,24,23,0.04133574
1748120257667,784,24,23,0.04144698
1748120257709,785,23,23,0.04190683
1748120257751,786,23,23,0.04196433
1748120257793,787,24,23,0.04164985
1748120257834,788,23,23,0.04186125
1748120257877,789,24,24,0.04107558
1748120257918,790,23,23,0.04289766
1748120257959,791,24,23,0.04103198
1748120258001,792,23,23,0.04212547
1748120258043,793,23,23,0.04179375
1748120258085,794,23,23,0.04170001
1748120258126,795,24,23,0.04140188
1748120258168,796,23,23,0.04184667
1748120258210,797,23,23,0.04193714
1748120258252,798,24,23,0.04158865
1748120258294,799,23,23,0.04211782
